OBJECTID,STATEFP20,COUNTYFP20,TRACTCE20,BLOCKCE20,GEOID20,NAME20,MTFCC20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,GID,TOTAL_AC,LAND_AC,TCAN_AC,TCAN_PCT,VEG_AC,VEG_PCT,BLD_AC,BLD_PCT,TO_IA_AC,TO_IA_PCT,ROAD_AC,ROAD_PCT,PLOT_AC,PLOT_PCT,SWALK_AC,SWALK_PCT,OT_IA_AC,OT_IA_PCT,WAT_AC,WAT_PCT,SOIL_AC,SOIL_PCT,UTC_AC,UTC_PCT,PPA_V_AC,PPA_V_PCT,TO_PPA_AC,TO_PPA_PCT,PPA_IA_AC,PPA_IA_PCT,UN_V_AC,UN_V_PCT,TO_UN_AC,TO_UN_PCT,UN_IA_AC,UN_IA_PCT,UN_SL_AC,UN_SL_PCT,WTR_AC,WTR_PCT,UTC_AC_06,UTC_PCT_06,UTCAC0620,UTCPCT0620,UTC_AC_11,UTC_PCT_11,UTCAC1120,UTCPCT1120,UTC_AC_15,UTC_PCT_15,UTCAC1520,UTCPCT1520,GIS_ID,GLOBALID,SHAPEAREA,SHAPELEN
637,11,001,002102,1007,110010021021007,Block 1007,G5040,S,2010,0,+38.9579053,-077.0138458,1579,0.5,0.5,0.03,6.22,0.04,7.94,0,0,0.43,85.84,0.25,49.83,0,0,0.09,17,0.1,19.01,0,0,0,0,0.03,6.22,0.04,7.94,0.13,24.94,0.09,17,0,0,0.35,68.84,0.35,68.84,0,0,0,0,0,0,0.03,6.22,0.01,2,0.02,4.22,0,0,0.03,6.22,UTC_BlockPly_2020_1579,{731B3634-0820-4027-B038-741D1BE3D5FC},0,0
638,11,001,001100,2020,110010011002020,Block 2020,G5040,S,20392,0,+38.9580249,-077.0787211,955,5.04,5.04,3.55,70.54,0.38,7.57,0.68,13.48,1.1,21.88,0.26,5.18,0,0,0.02,0.49,0.14,2.74,0,0,0,0,3.55,70.54,0.38,7.56,0.41,8.06,0.03,0.51,0,0,1.08,21.39,1.08,21.39,0,0,0,0,2.92,57.93650794,0.63,12.60349206,3.04,60.31746032,0.51,10.22253968,3.48,69.04761905,0.07,1.49238095,UTC_BlockPly_2020_955,{12B612B2-87ED-473A-BD9F-141B7FC576C4},0,0
639,11,001,001100,4000,110010011004000,Block 4000,G5040,S,6285,0,+38.9579485,-077.0765844,1754,1.55,1.55,1.07,68.92,0.21,13.38,0.09,5.76,0.28,17.71,0.11,7.25,0,0,0,0.25,0.07,4.44,0,0,0,0,1.07,68.92,0.21,13.36,0.21,13.63,0,0.27,0,0,0.27,17.45,0.27,17.45,0,0,0,0,1.24,80,-0.17,-11.08,1.19,76.77419355,-0.12,-7.85419355,1.24,80,-0.17,-11.08,UTC_BlockPly_2020_1754,{A025476D-9CAA-4BD6-9555-E30C4FC53D7B},0,0
640,11,001,001100,3002,110010011003002,Block 3002,G5040,S,10160,0,+38.9580680,-077.0754259,5013,2.51,2.51,1.56,61.96,0.28,11.12,0.32,12.61,0.68,26.92,0.23,9.1,0,0,0.03,1.39,0.1,3.83,0,0,0,0,1.56,61.96,0.28,11.11,0.31,12.51,0.04,1.4,0,0,0.64,25.54,0.64,25.54,0,0,0,0,1.63,64.94023904,-0.07,-2.98023904,1.4,55.77689243,0.16,6.18310757,1.58,62.94820717,-0.02,-0.98820717,UTC_BlockPly_2020_5013,{64F98323-30CD-4DBB-8186-A306C0380357},0,0
641,11,001,001100,3003,110010011003003,Block 3003,G5040,S,19505,0,+38.9580153,-077.0730823,3585,4.82,4.82,2.64,54.72,0.57,11.78,0.85,17.61,1.61,33.49,0.48,9.93,0,0,0.06,1.26,0.23,4.7,0,0,0,0,2.64,54.72,0.57,11.78,0.63,13.04,0.06,1.26,0,0,1.55,32.24,1.55,32.24,0,0,0,0,2.38,49.37759336,0.26,5.34240664,2.68,55.60165975,-0.04,-0.88165975,2.8,58.09128631,-0.16,-3.37128631,UTC_BlockPly_2020_3585,{182DB501-EBBF-49F5-B3F3-703E06FFE0A9},0,0
642,11,001,009507,1005,110010095071005,Block 1005,G5040,S,23685,0,+38.9576769,-076.9961404,4886,5.85,5.85,1.6,27.33,1,17.15,1.08,18.46,3.25,55.51,0.82,13.98,0,0,0.12,2.12,1.23,20.96,0,0,0,0,1.6,27.33,1,17.13,1.13,19.27,0.13,2.14,0,0,3.13,53.4,3.13,53.4,0,0,0,0,1.1,18.8034188,0.5,8.5265812,1.41,24.1025641,0.19,3.2274359,1.65,28.20512821,-0.05,-0.87512821,UTC_BlockPly_2020_4886,{25145DC4-2ADC-4DD7-95E8-41590EE884E3},0,0
643,11,001,002102,1014,110010021021014,Block 1014,G5040,S,6265,0,+38.9580188,-077.0175597,982,1.55,1.55,0.32,20.41,0.13,8.49,0.41,26.43,1.1,71.11,0.32,20.52,0,0,0.07,4.75,0.3,19.42,0,0,0,0,0.32,20.41,0.13,8.28,0.2,13.23,0.08,4.95,0,0,1.03,66.36,1.03,66.36,0,0,0,0,0.11,7.09677419,0.21,13.31322581,0.23,14.83870968,0.09,5.57129032,0.2,12.90322581,0.12,7.50677419,UTC_BlockPly_2020_982,{77B9A74E-A8CE-4455-BF90-9214DF702CCC},0,0
644,11,001,002102,1015,110010021021015,Block 1015,G5040,S,6331,0,+38.9580154,-077.0166327,2083,1.57,1.57,0.5,31.99,0.12,7.51,0.4,25.6,0.95,60.5,0.24,15.2,0,0,0.05,3.11,0.26,16.6,0,0,0,0,0.5,31.99,0.12,7.48,0.17,10.62,0.05,3.14,0,0,0.9,57.39,0.9,57.39,0,0,0,0,0.24,15.2866242,0.26,16.7033758,0.53,33.75796178,-0.03,-1.76796178,0.47,29.93630573,0.03,2.05369427,UTC_BlockPly_2020_2083,{390D022B-B12C-49C5-A4D8-C5BD6D25804C},0,0
645,11,001,001004,1013,110010010041013,Block 1013,G5040,S,13202,0,+38.9575019,-077.0892819,2121,3.26,3.26,1.77,54.3,0.36,11.15,0.38,11.55,1.13,34.55,0.5,15.22,0,0,0.04,1.25,0.21,6.54,0,0,0,0,1.77,54.3,0.36,11.05,0.4,12.4,0.04,1.35,0,0,1.09,33.3,1.09,33.3,0,0,0,0,1.16,35.58282209,0.61,18.71717791,1.46,44.78527607,0.31,9.51472393,1.59,48.77300614,0.18,5.52699387,UTC_BlockPly_2020_2121,{651FBB49-A41D-4192-9EDA-42CF568A838F},0,0
646,11,001,002001,2012,110010020012012,Block 2012,G5040,S,30538,0,+38.9578171,-077.0349112,5400,7.55,7.55,2.58,34.22,1.62,21.46,1.43,18.95,3.35,44.33,0.96,12.65,0,0,0.18,2.42,0.78,10.31,0,0,0,0,2.58,34.22,1.62,21.46,1.8,23.88,0.18,2.42,0,0,3.16,41.91,3.16,41.91,0,0,0,0,2.54,33.64238411,0.04,0.57761589,3.68,48.74172185,-1.1,-14.52172185,2.18,28.87417219,0.4,5.34582781,UTC_BlockPly_2020_5400,{339A4A47-35A2-4445-A977-AAD3E3300864},0,0
647,11,001,002002,2002,110010020022002,Block 2002,G5040,S,23039,0,+38.9577790,-077.0308251,2869,5.69,5.69,1.56,27.39,0.91,16.01,1.38,24.22,3.22,56.6,0.77,13.5,0.07,1.2,0.21,3.7,0.8,13.98,0,0,0,0,1.56,27.39,0.91,15.97,1.19,20.92,0.28,4.94,0,0,2.94,51.7,2.94,51.7,0,0,0,0,1.25,21.96836555,0.31,5.42163445,1.61,28.29525483,-0.05,-0.90525483,1.11,19.50790861,0.45,7.88209139,UTC_BlockPly_2020_2869,{41095E71-90E8-4D9E-A91F-24152D384E69},0,0
648,11,001,002001,1007,110010020011007,Block 1007,G5040,S,15444,0,+38.9578696,-077.0326547,5768,3.82,3.82,1.4,36.8,0.54,14.19,0.79,20.71,1.87,49.01,0.52,13.65,0.03,0.91,0.12,3.13,0.4,10.61,0,0,0,0,1.4,36.8,0.54,14.19,0.7,18.23,0.15,4.04,0,0,1.72,44.97,1.72,44.97,0,0,0,0,1.34,35.07853403,0.06,1.72146597,1.67,43.71727749,-0.27,-6.91727749,1.21,31.67539267,0.19,5.12460733,UTC_BlockPly_2020_5768,{3C17632D-873C-49AE-A910-35BC52C4B49E},0,0
649,11,001,002002,2003,110010020022003,Block 2003,G5040,S,15198,0,+38.9578102,-077.0289581,3868,3.75,3.75,0.8,21.33,0.32,8.47,0.87,23.07,2.63,70.2,0.76,20.33,0.47,12.45,0.17,4.43,0.37,9.92,0,0,0,0,0.8,21.33,0.32,8.42,0.95,25.35,0.64,16.93,0,0,2,53.32,2,53.32,0,0,0,0,0.57,15.2,0.23,6.13,0.9,24,-0.1,-2.67,0.79,21.06666667,0.01,0.26333333,UTC_BlockPly_2020_3868,{9CF0EB5F-F3BB-4D9D-B10B-4957F9EEE08C},0,0
650,11,001,002102,1012,110010021021012,Block 1012,G5040,S,7541,0,+38.9578557,-077.0191333,2141,1.87,1.87,0.78,41.63,0.1,5.23,0.37,19.77,0.99,53.14,0.28,14.99,0,0,0.05,2.62,0.29,15.76,0,0,0,0,0.78,41.63,0.1,5.23,0.15,7.85,0.05,2.62,0,0,0.94,50.52,0.94,50.52,0,0,0,0,0.64,34.22459893,0.14,7.40540107,0.74,39.57219251,0.04,2.05780749,0.7,37.43315508,0.08,4.19684492,UTC_BlockPly_2020_2141,{818066DB-2028-47BF-8F85-B867C8D54CDE},0,0
651,11,001,002101,1011,110010021011011,Block 1011,G5040,S,11413,0,+38.9577368,-077.0213335,2016,2.82,2.82,0.79,28.02,0.15,5.28,0.72,25.55,1.81,64,0.46,16.27,0,0,0.07,2.4,0.56,19.78,0,0,0.08,2.69,0.79,28.02,0.15,5.28,0.22,7.68,0.07,2.4,0,0,1.81,64.29,1.74,61.6,0.08,2.69,0,0,1.07,37.94326241,-0.28,-9.92326241,1.23,43.61702128,-0.44,-15.59702128,0.92,32.62411348,-0.13,-4.60411348,UTC_BlockPly_2020_2016,{76FF1F0C-EE58-4667-8C70-47A4AF49F29F},0,0
652,11,001,001100,2012,110010011002012,Block 2012,G5040,S,19850,0,+38.9575470,-077.0830538,4933,4.9,4.9,1.99,40.68,0.29,5.96,1.15,23.51,2.62,53.36,0.64,12.95,0.22,4.56,0.27,5.6,0.33,6.73,0,0,0,0,1.99,40.68,0.29,5.91,0.79,16.08,0.5,10.16,0,0.05,2.12,43.25,2.12,43.2,0,0,0,0,1.59,32.44897959,0.4,8.23102041,1.98,40.40816327,0.01,0.27183673,1.84,37.55102041,0.15,3.12897959,UTC_BlockPly_2020_4933,{F107EF88-228F-4994-B733-5BB6D6CF89E6},0,0
653,11,001,001100,2021,110010011002021,Block 2021,G5040,S,16663,0,+38.9575253,-077.0811618,4656,4.12,4.12,2.47,60.03,0.47,11.41,0.7,17.11,1.18,28.56,0.28,6.73,0,0,0.03,0.73,0.16,3.99,0,0,0,0,2.47,60.03,0.47,11.31,0.5,12.14,0.03,0.83,0,0,1.15,27.83,1.15,27.83,0,0,0,0,2.08,50.48543689,0.39,9.54456311,2.16,52.42718447,0.31,7.60281553,2.33,56.55339806,0.14,3.47660194,UTC_BlockPly_2020_4656,{54857058-F141-4639-8648-68895813C35E},0,0
654,11,001,001402,3009,110010014023009,Block 3009,G5040,S,16256,0,+38.9570975,-077.0700999,944,4.02,4.02,1.51,37.65,0.44,10.99,0.91,22.65,2.06,51.37,0.53,13.2,0.05,1.29,0.09,2.29,0.48,11.94,0,0,0,0,1.51,37.65,0.44,10.97,0.59,14.57,0.14,3.6,0,0,1.92,47.79,1.92,47.79,0,0,0,0,1.54,38.30845771,-0.03,-0.65845771,1.34,33.33333333,0.17,4.31666667,1.42,35.32338308,0.09,2.32661692,UTC_BlockPly_2020_944,{AE7338E4-384E-46D8-A61E-F4E75FE45CD5},0,0
655,11,001,009507,1008,110010095071008,Block 1008,G5040,S,11652,0,+38.9571733,-076.9994558,5964,2.88,2.88,0.36,12.44,0.61,21.19,0.53,18.3,1.91,66.37,0.67,23.16,0,0,0.09,3.04,0.63,21.87,0,0,0,0,0.36,12.44,0.61,21.16,0.7,24.23,0.09,3.07,0,0,1.82,63.33,1.82,63.33,0,0,0,0,0.46,15.97222222,-0.1,-3.53222222,0.41,14.23611111,-0.05,-1.79611111,0.38,13.19444444,-0.02,-0.75444444,UTC_BlockPly_2020_5964,{D822C008-DE9E-41E5-8DFB-87AE144F5BBA},0,0
